month,total_rainfall,no_of_rainy_days,mean_sunshine_hrs,date,year,condition
Jan,56.9,7,6.1,1994-01-01,1994,not conducive
Feb,133.5,15,6.4,1994-02-01,1994,conducive
Mar,288.2,19,3.5,1994-03-01,1994,not conducive
Apr,154.0,15,5.8,1994-04-01,1994,not conducive
May,169.6,16,5.0,1994-05-01,1994,not conducive
Jun,184.7,14,6.0,1994-06-01,1994,conducive
Jul,53.8,6,7.6,1994-07-01,1994,not conducive
Aug,45.1,12,6.5,1994-08-01,1994,not conducive
Sep,23.7,6,3.8,1994-09-01,1994,not conducive
Oct,84.7,11,4.5,1994-10-01,1994,not conducive
Nov,322.2,21,4.5,1994-11-01,1994,not conducive
Dec,425.4,18,5.3,1994-12-01,1994,not conducive
Jan,349.4,21,5.0,1995-01-01,1995,not conducive
Feb,334.0,16,4.9,1995-02-01,1995,not conducive
Mar,67.7,10,5.9,1995-03-01,1995,not conducive
Apr,242.3,16,5.6,1995-04-01,1995,not conducive
May,84.4,11,6.0,1995-05-01,1995,not conducive
Jun,63.7,12,6.6,1995-06-01,1995,not conducive
Jul,173.6,13,5.2,1995-07-01,1995,not conducive
Aug,211.6,21,4.1,1995-08-01,1995,not conducive
Sep,29.5,7,5.8,1995-09-01,1995,not conducive
Oct,101.1,12,4.7,1995-10-01,1995,not conducive
Nov,372.8,20,3.7,1995-11-01,1995,not conducive
Dec,302.5,20,3.1,1995-12-01,1995,not conducive
Jan,173.2,10,5.2,1996-01-01,1996,not conducive
Feb,180.2,11,5.8,1996-02-01,1996,not conducive
Mar,129.7,8,7.7,1996-03-01,1996,conducive
Apr,178.2,15,5.4,1996-04-01,1996,not conducive
May,107.5,15,7.0,1996-05-01,1996,conducive
Jun,265.8,15,5.9,1996-06-01,1996,not conducive
Jul,162.3,10,6.7,1996-07-01,1996,conducive
Aug,258.4,18,5.0,1996-08-01,1996,not conducive
Sep,297.0,18,4.8,1996-09-01,1996,not conducive
Oct,300.0,19,4.3,1996-10-01,1996,not conducive
Nov,180.2,16,4.4,1996-11-01,1996,not conducive
Dec,185.5,15,4.5,1996-12-01,1996,not conducive
Jan,15.4,3,7.7,1997-01-01,1997,not conducive
Feb,105.4,8,4.9,1997-02-01,1997,not conducive
Mar,34.3,10,7.0,1997-03-01,1997,not conducive
Apr,118.4,12,5.6,1997-04-01,1997,not conducive
May,41.6,6,6.7,1997-05-01,1997,not conducive
Jun,78.9,12,7.3,1997-06-01,1997,not conducive
Jul,18.6,9,6.5,1997-07-01,1997,not conducive
Aug,86.6,9,5.7,1997-08-01,1997,not conducive
Sep,31.1,3,3.2,1997-09-01,1997,not conducive
Oct,78.4,8,3.2,1997-10-01,1997,not conducive
Nov,158.3,13,5.4,1997-11-01,1997,not conducive
Dec,351.9,23,5.3,1997-12-01,1997,not conducive
Jan,268.8,13,7.4,1998-01-01,1998,conducive
Feb,32.5,5,8.9,1998-02-01,1998,not conducive
Mar,58.8,7,7.6,1998-03-01,1998,not conducive
Apr,187.7,13,6.7,1998-04-01,1998,conducive
May,370.8,18,5.9,1998-05-01,1998,not conducive
Jun,198.8,15,5.3,1998-06-01,1998,not conducive
Jul,259.2,18,5.1,1998-07-01,1998,not conducive
Aug,195.0,18,4.6,1998-08-01,1998,not conducive
Sep,258.2,17,4.5,1998-09-01,1998,not conducive
Oct,222.7,20,5.0,1998-10-01,1998,not conducive
Nov,107.2,11,4.6,1998-11-01,1998,not conducive
Dec,463.4,22,3.1,1998-12-01,1998,not conducive
Jan,193.9,19,3.9,1999-01-01,1999,not conducive
Feb,67.4,9,6.7,1999-02-01,1999,not conducive
Mar,181.4,16,4.3,1999-03-01,1999,not conducive
Apr,88.5,14,5.8,1999-04-01,1999,not conducive
May,157.1,13,5.7,1999-05-01,1999,not conducive
Jun,103.4,13,6.0,1999-06-01,1999,conducive
Jul,225.4,11,6.8,1999-07-01,1999,conducive
Aug,204.0,13,5.7,1999-08-01,1999,not conducive
Sep,125.9,13,6.5,1999-09-01,1999,conducive
Oct,205.0,20,4.7,1999-10-01,1999,not conducive
Nov,241.5,19,4.7,1999-11-01,1999,not conducive
Dec,340.5,17,4.1,1999-12-01,1999,not conducive
Jan,275.2,14,4.0,2000-01-01,2000,not conducive
Feb,237.8,18,5.8,2000-02-01,2000,not conducive
Mar,238.3,15,5.8,2000-03-01,2000,not conducive
Apr,311.6,20,5.3,2000-04-01,2000,not conducive
May,96.8,10,6.8,2000-05-01,2000,not conducive
Jun,157.5,16,4.6,2000-06-01,2000,not conducive
Jul,116.1,12,6.5,2000-07-01,2000,conducive
Aug,113.5,18,5.1,2000-08-01,2000,not conducive
Sep,81.1,12,6.2,2000-09-01,2000,not conducive
Oct,120.9,14,4.0,2000-10-01,2000,not conducive
Nov,385.7,21,3.7,2000-11-01,2000,not conducive
Dec,236.0,18,4.2,2000-12-01,2000,not conducive
Jan,425.8,21,4.4,2001-01-01,2001,not conducive
Feb,86.6,11,4.8,2001-02-01,2001,not conducive
Mar,297.3,20,5.4,2001-03-01,2001,not conducive
Apr,203.3,18,5.3,2001-04-01,2001,not conducive
May,164.9,12,6.0,2001-05-01,2001,conducive
Jun,137.1,11,4.9,2001-06-01,2001,not conducive
Jul,111.3,9,8.1,2001-07-01,2001,conducive
Aug,158.3,14,4.9,2001-08-01,2001,not conducive
Sep,162.0,13,6.2,2001-09-01,2001,conducive
Oct,252.2,20,4.4,2001-10-01,2001,not conducive
Nov,175.3,15,3.7,2001-11-01,2001,not conducive
Dec,609.0,20,4.5,2001-12-01,2001,not conducive
Jan,221.2,11,6.9,2002-01-01,2002,conducive
Feb,50.8,2,7.4,2002-02-01,2002,not conducive
Mar,55.6,8,7.6,2002-03-01,2002,not conducive
Apr,116.5,13,6.6,2002-04-01,2002,conducive
May,236.6,13,6.2,2002-05-01,2002,conducive
Jun,83.1,12,6.3,2002-06-01,2002,not conducive
Jul,233.7,11,6.8,2002-07-01,2002,conducive
Aug,54.2,14,6.7,2002-08-01,2002,not conducive
Sep,124.2,9,5.5,2002-09-01,2002,not conducive
Oct,10.8,7,6.2,2002-10-01,2002,not conducive
Nov,307.2,15,4.6,2002-11-01,2002,not conducive
Dec,255.0,24,4.8,2002-12-01,2002,not conducive
Jan,444.2,20,4.7,2003-01-01,2003,not conducive
Feb,172.9,13,5.8,2003-02-01,2003,not conducive
Mar,154.6,11,6.9,2003-03-01,2003,conducive
Apr,159.9,20,5.1,2003-04-01,2003,not conducive
May,81.8,11,5.8,2003-05-01,2003,not conducive
Jun,50.3,12,7.0,2003-06-01,2003,not conducive
Jul,170.4,14,5.6,2003-07-01,2003,not conducive
Aug,193.6,13,6.1,2003-08-01,2003,conducive
Sep,205.3,15,5.0,2003-09-01,2003,not conducive
Oct,351.4,21,5.1,2003-10-01,2003,not conducive
Nov,133.8,19,4.2,2003-11-01,2003,not conducive
Dec,273.0,17,3.9,2003-12-01,2003,not conducive
